Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Efficiency_WhKm,FastChargeSpeed_kmph
4.5 sec,210 km/h,470 km,226 Wh/km,,All Wheel Drive,5,115000.0,,226,630
5.9 sec,180 km/h,455 km,235 Wh/km,,All Wheel Drive,7,105550.0,,235,590
4.9 sec,180 km/h,440 km,243 Wh/km,,All Wheel Drive,7,110650.0,,243,570
8.9 sec,160 km/h,365 km,193 Wh/km,,Front Wheel Drive,7,53978.0,,193,490
11.2 sec,135 km/h,210 km,220 Wh/km,,Front Wheel Drive,5,37800.0,,220,330
11.2 sec,135 km/h,205 km,226 Wh/km,,Front Wheel Drive,7,40150.0,,226,330
8.3 sec,160 km/h,260 km,175 Wh/km,,Front Wheel Drive,5,38990.0,,175,240
7.3 sec,160 km/h,320 km,188 Wh/km,,Front Wheel Drive,5,44625.0,,188,300
4.6 sec,180 km/h,350 km,240 Wh/km,,All Wheel Drive,7,71400.0,,240,330
3.9 sec,180 km/h,465 km,178 Wh/km,,All Wheel Drive,5,70805.0,,178,450
6.0 sec,190 km/h,400 km,168 Wh/km,,Rear Wheel Drive,5,56500.0,,168,540
4.0 sec,200 km/h,395 km,178 Wh/km,,All Wheel Drive,5,59500.0,,178,530
4.0 sec,200 km/h,495 km,182 Wh/km,,All Wheel Drive,5,68500.0,,182,520
3.9 sec,200 km/h,340 km,207 Wh/km,,All Wheel Drive,5,85900.0,,207,460
3.9 sec,200 km/h,430 km,209 Wh/km,,All Wheel Drive,5,94900.0,,209,450
7.0 sec,155 km/h,225 km,166 Wh/km,,Front Wheel Drive,4,43000.0,,166,370
9.0 sec,150 km/h,300 km,169 Wh/km,,Front Wheel Drive,5,40540.0,,169,480
8.5 sec,170 km/h,310 km,164 Wh/km,,Front Wheel Drive,5,40000.0,,164,500
8.5 sec,170 km/h,300 km,169 Wh/km,,Front Wheel Drive,5,42000.0,,169,480
9.0 sec,150 km/h,295 km,172 Wh/km,,Front Wheel Drive,5,39900.0,,172,470
5.2 sec,210 km/h,485 km,224 Wh/km,,All Wheel Drive,7,124545.0,,224,630
7.3 sec,180 km/h,345 km,191 Wh/km,,Rear Wheel Drive,5,47500.0,,191,420
7.3 sec,180 km/h,405 km,195 Wh/km,,Rear Wheel Drive,5,53000.0,,195,600
4.8 sec,180 km/h,390 km,203 Wh/km,,All Wheel Drive,5,59950.0,,203,580
7.3 sec,180 km/h,355 km,186 Wh/km,,Rear Wheel Drive,5,47500.0,,186,430
7.3 sec,180 km/h,420 km,188 Wh/km,,Rear Wheel Drive,5,54450.0,,188,630
4.7 sec,180 km/h,400 km,198 Wh/km,,All Wheel Drive,5,61400.0,,198,600
12.6 sec,132 km/h,215 km,205 Wh/km,,Front Wheel Drive,5,39300.0,,205,230
2.7 sec,320 km/h,425 km,195 Wh/km,,All Wheel Drive,4,250000.0,,195,990
8.9 sec,155 km/h,260 km,196 Wh/km,,Front Wheel Drive,5,,,196,240
5.9 sec,200 km/h,405 km,202 Wh/km,,All Wheel Drive,5,61700.0,,202,560
5.9 sec,200 km/h,425 km,206 Wh/km,,All Wheel Drive,5,63850.0,,206,550
5.5 sec,200 km/h,400 km,205 Wh/km,,All Wheel Drive,5,68700.0,,205,560
5.5 sec,200 km/h,425 km,206 Wh/km,,All Wheel Drive,5,72500.0,,206,550
6.5 sec,200 km/h,400 km,230 Wh/km,,All Wheel Drive,7,82250.0,,230,540
6.5 sec,200 km/h,520 km,237 Wh/km,,All Wheel Drive,7,89800.0,,237,520
4.8 sec,200 km/h,380 km,223 Wh/km,,All Wheel Drive,5,92400.0,,223,360
13.7 sec,125 km/h,160 km,156 Wh/km,,Front Wheel Drive,4,24550.0,,156,170
8.2 sec,160 km/h,340 km,174 Wh/km,,Front Wheel Drive,5,44490.0,,174,240
8.2 sec,160 km/h,330 km,180 Wh/km,,Front Wheel Drive,5,49490.0,,180,230
9.0 sec,150 km/h,300 km,169 Wh/km,,Front Wheel Drive,5,37000.0,,169,480
6.4 sec,205 km/h,385 km,174 Wh/km,,Rear Wheel Drive,5,50775.0,,174,620
6.2 sec,205 km/h,440 km,177 Wh/km,,Rear Wheel Drive,5,54475.0,,177,680
