Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Audi Q4 e-tron 45 quattro	76.6 kWh useable battery          Available since August 2021	6.9 sec	180 km/h	385 km	199 Wh/km		All Wheel Drive	5	€53,990	
Audi Q4 Sportback e-tron 40	76.6 kWh useable battery          Available since August 2021	8.5 sec	160 km/h	425 km	180 Wh/km		Rear Wheel Drive	5	€53,900	
BMW iX3 	74 kWh useable battery          Available since September 2021	6.8 sec	180 km/h	385 km	192 Wh/km		Rear Wheel Drive	5	€67,300	
Renault Megane E-Tech EV40 130hp	40 kWh useable battery          Available since April 2022	10.0 sec	150 km/h	250 km	160 Wh/km		Front Wheel Drive	5	€42,000	
Mercedes EQS AMG 53 4MATIC+	107.8 kWh useable battery          Available since February 2022	3.4 sec	250 km/h	565 km	191 Wh/km		All Wheel Drive	5	€155,009	
Mercedes EQE 350+	90.6 kWh useable battery          Available since April 2022	6.4 sec	210 km/h	525 km	173 Wh/km		Rear Wheel Drive	5		
MG ZS EV Standard Range	49 kWh useable battery          Available since November 2021	8.6 sec	175 km/h	270 km	181 Wh/km		Front Wheel Drive	5	€33,990	
MG ZS EV Long Range	68.3 kWh useable battery          Available since November 2021	8.4 sec	175 km/h	365 km	187 Wh/km		Front Wheel Drive	5	€37,990	
Mercedes EQV 250 Long	60 kWh useable battery          Available since October 2021	12.0 sec	160 km/h	205 km	293 Wh/km		Front Wheel Drive	7	€68,056	
Mercedes EQV 250 Extra-Long	60 kWh useable battery          Available since October 2021	12.0 sec	160 km/h	205 km	293 Wh/km		Front Wheel Drive	7	€68,949	
Opel Combo-e Life 50 kWh	46.3 kWh useable battery          Available since October 2021	11.7 sec	135 km/h	205 km	226 Wh/km		Front Wheel Drive	7	€43,050	
Opel Combo-e Life XL 50 kWh	46.3 kWh useable battery          Available since October 2021	11.7 sec	135 km/h	200 km	232 Wh/km		Front Wheel Drive	7	€44,750	
Citroen e-Berlingo M 50 kWh	46.3 kWh useable battery          Available since September 2021	11.7 sec	135 km/h	205 km	226 Wh/km		Front Wheel Drive	5	€37,790	
Citroen e-Berlingo XL 50 kWh	46.3 kWh useable battery          Available since September 2021	11.7 sec	135 km/h	200 km	232 Wh/km		Front Wheel Drive	7	€43,640	
Tesla Model 3 	57.5 kWh useable battery          Available since December 2021	6.1 sec	225 km/h	380 km	151 Wh/km		Rear Wheel Drive	5	€44,668	
Volkswagen ID.5 Pro	77 kWh useable battery          Available since March 2022	10.4 sec	160 km/h	430 km	179 Wh/km		Rear Wheel Drive	5	€47,935	
Volkswagen ID.5 Pro Performance	77 kWh useable battery          Available since March 2022	8.4 sec	160 km/h	430 km	179 Wh/km		Rear Wheel Drive	5	€48,970	
Volkswagen ID.5 GTX	77 kWh useable battery          Available since March 2022	6.3 sec	180 km/h	405 km	190 Wh/km		All Wheel Drive	5	€56,455	
Mercedes EQB 300 4MATIC	66.5 kWh useable battery          Available since February 2022	8.0 sec	160 km/h	335 km	199 Wh/km		All Wheel Drive	7	€55,519	
Porsche Taycan GTS	83.7 kWh useable battery          Available since February 2022	3.7 sec	250 km/h	450 km	186 Wh/km		All Wheel Drive	4	€134,214	
Porsche Taycan GTS Sport Turismo	83.7 kWh useable battery          Available since February 2022	3.7 sec	250 km/h	425 km	197 Wh/km		All Wheel Drive	4	€135,166	
Toyota bZ4X FWD	64 kWh useable battery          Available since June 2022	7.5 sec	160 km/h	335 km	191 Wh/km		Front Wheel Drive	5	€47,490	
Toyota bZ4X AWD	64 kWh useable battery          Available since June 2022	6.9 sec	160 km/h	330 km	194 Wh/km		All Wheel Drive	5	€57,390	
Subaru Solterra AWD	64 kWh useable battery          Available since June 2022	6.9 sec	160 km/h	320 km	200 Wh/km		All Wheel Drive	5	€57,490	
Peugeot e-208 	46.3 kWh useable battery          Available since November 2021	8.1 sec	150 km/h	290 km	160 Wh/km		Front Wheel Drive	5	€39,100	
Peugeot e-2008 SUV 	46.3 kWh useable battery          Available since November 2021	8.5 sec	150 km/h	260 km	178 Wh/km		Front Wheel Drive	5	€37,900	
Opel Corsa-e 	46.3 kWh useable battery          Available since November 2021	8.1 sec	150 km/h	295 km	157 Wh/km		Front Wheel Drive	5	€36,395	
Opel Mokka-e 	46.3 kWh useable battery          Available since November 2021	9.2 sec	150 km/h	260 km	178 Wh/km		Front Wheel Drive	5	€40,650	
Citroen e-C4 	46.3 kWh useable battery          Available since November 2021	9.7 sec	150 km/h	275 km	168 Wh/km		Front Wheel Drive	5	€36,040	
Renault Megane E-Tech EV60 130hp	60 kWh useable battery          Available since April 2022	10.5 sec	150 km/h	365 km	164 Wh/km		Front Wheel Drive	5	€47,000	
SsangYong Korando e-Motion	56 kWh useable battery          Available since February 2022	8.5 sec	156 km/h	290 km	193 Wh/km		Front Wheel Drive	5	€40,490	
BMW iX M60	105.2 kWh useable battery          Available since April 2022	3.8 sec	250 km/h	485 km	217 Wh/km		All Wheel Drive	5	€136,100	
Tesla Model 3 Long Range Dual Motor	75 kWh useable battery          Available since November 2021	4.4 sec	233 km/h	485 km	155 Wh/km		All Wheel Drive	5	€53,668	
Citroen e-Jumpy Combi M 50 kWh	46.3 kWh useable battery          Available since November 2020	12.1 sec	130 km/h	185 km	250 Wh/km		Front Wheel Drive	7	€51,940	
Citroen e-Jumpy Combi XL 50 kWh	46.3 kWh useable battery          Available since November 2020	12.1 sec	130 km/h	180 km	257 Wh/km		Front Wheel Drive	7	€52,730	
Citroen e-Jumpy Combi M 75 kWh	68 kWh useable battery          Available since November 2020	13.3 sec	130 km/h	265 km	257 Wh/km		Front Wheel Drive	7	€57,940	
Citroen e-Jumpy Combi XL 75 kWh	68 kWh useable battery          Available since November 2020	13.3 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7	€58,730	
Opel Vivaro-e Combi M 50 kWh	46.3 kWh useable battery          Available since October 2020	12.1 sec	130 km/h	185 km	250 Wh/km		Front Wheel Drive	7	€50,992	
Opel Vivaro-e Combi L 50 kWh	46.3 kWh useable battery          Available since October 2020	12.1 sec	130 km/h	180 km	257 Wh/km		Front Wheel Drive	7	€51,825	
Opel Vivaro-e Combi M 75 kWh	68 kWh useable battery          Available since October 2020	13.3 sec	130 km/h	265 km	257 Wh/km		Front Wheel Drive	7	€56,942	
Opel Vivaro-e Combi L 75 kWh	68 kWh useable battery          Available since October 2020	13.3 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7	€57,775	
Peugeot e-Expert Combi Standard 50 kWh	46.3 kWh useable battery          Available since February 2021	13.1 sec	130 km/h	185 km	250 Wh/km		Front Wheel Drive	7	€51,940	
Peugeot e-Expert Combi Long 50 kWh	46.3 kWh useable battery          Available since February 2021	13.1 sec	130 km/h	180 km	257 Wh/km		Front Wheel Drive	7	€52,730	
Peugeot e-Expert Combi Standard 75 kWh	68 kWh useable battery          Available since February 2021	14.3 sec	130 km/h	265 km	257 Wh/km		Front Wheel Drive	7	€57,940	
Peugeot e-Expert Combi Long 75 kWh	68 kWh useable battery          Available since February 2021	14.3 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7	€58,730	
Toyota PROACE Shuttle M 50 kWh	46.3 kWh useable battery          Available since June 2021	12.1 sec	130 km/h	180 km	257 Wh/km		Front Wheel Drive	7		
Toyota PROACE Shuttle L 50 kWh	46.3 kWh useable battery          Available since June 2021	12.1 sec	130 km/h	180 km	257 Wh/km		Front Wheel Drive	7		
Toyota PROACE Shuttle M 75 kWh	68 kWh useable battery          Available since June 2021	13.1 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7		
Toyota PROACE Shuttle L 75 kWh	68 kWh useable battery          Available since June 2021	13.1 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7		
Mercedes eVito Tourer Long 90 kWh	90 kWh useable battery          Available since October 2020	12.0 sec	160 km/h	310 km	290 Wh/km		Front Wheel Drive	7	€64,248	
Mercedes eVito Tourer Extra-Long 90 kWh	90 kWh useable battery          Available since October 2020	12.0 sec	160 km/h	305 km	295 Wh/km		Front Wheel Drive	7	€65,140	
Mercedes eVito Tourer Long 60 kWh	60 kWh useable battery          Available since January 2022	12.0 sec	160 km/h	210 km	286 Wh/km		Front Wheel Drive	7	€60,678	
Mercedes eVito Tourer Extra-Long 60 kWh	60 kWh useable battery          Available since January 2022	12.0 sec	160 km/h	205 km	293 Wh/km		Front Wheel Drive	7	€61,571	
Tesla Model Y Long Range Dual Motor	75 kWh useable battery          Available since February 2022	5.0 sec	217 km/h	435 km	172 Wh/km		All Wheel Drive	5	€59,017	
Tesla Model 3 Performance	75 kWh useable battery          Available since February 2022	3.3 sec	261 km/h	460 km	163 Wh/km		All Wheel Drive	5	€57,668	
